name,cylinders,weight,territory,year,acceleration,mpg
Chevrolet Chevelle Malibu,8,3504,USA,1970,12.0,18.0
Buick Skylark 320,8,3693,USA,1970,11.5,15.0
Plymouth Satellite,8,3436,USA,1970,11.0,18.0
Amc Rebel Sst,8,3433,USA,1970,12.0,16.0
Ford Torino,8,3449,USA,1970,10.5,17.0
Ford Galaxie 500,8,4341,USA,1970,10.0,15.0
Chevrolet Impala,8,4354,USA,1970,9.0,14.0
Plymouth Fury Iii,8,4312,USA,1970,8.5,14.0
Pontiac Catalina,8,4425,USA,1970,10.0,14.0
Amc Ambassador Dpl,8,3850,USA,1970,8.5,15.0
Citroen Ds-21 Pallas,4,3090,Europe,1970,17.5,NULL
Chevrolet Chevelle Concours (Sw),8,4142,USA,1970,11.5,NULL
Ford Torino (Sw),8,4034,USA,1970,11.0,NULL
Plymouth Satellite (Sw),8,4166,USA,1970,10.5,NULL
Amc Rebel Sst (Sw),8,3850,USA,1970,11.0,NULL
Dodge Challenger Se,8,3563,USA,1970,10.0,15.0
Plymouth 'Cuda 340,8,3609,USA,1970,8.0,14.0
Ford Mustang Boss 302,8,3353,USA,1970,8.0,NULL
Chevrolet Monte Carlo,8,3761,USA,1970,9.5,15.0
Buick Estate Wagon (Sw),8,3086,USA,1970,10.0,14.0
Toyota Corona Mark Ii,4,2372,Japan,1970,15.0,24.0
Plymouth Duster,6,2833,USA,1970,15.5,22.0
Amc Hornet,6,2774,USA,1970,15.5,18.0
Ford Maverick,6,2587,USA,1970,16.0,21.0
Datsun Pl510,4,2130,Japan,1970,14.5,27.0
Volkswagen 1131 Deluxe Sedan,4,1835,Europe,1970,20.5,26.0
Peugeot 504,4,2672,Europe,1970,17.5,25.0
Audi 100 Ls,4,2430,Europe,1970,14.5,24.0
Saab 99E,4,2375,Europe,1970,17.5,25.0
Bmw 2002,4,2234,Europe,1970,12.5,26.0
Amc Gremlin,6,2648,USA,1970,15.0,21.0
Ford F250,8,4615,USA,1970,14.0,10.0
Chevy C20,8,4376,USA,1970,15.0,10.0
Dodge D200,8,4382,USA,1970,13.5,11.0
Hi 1200D,8,4732,USA,1970,18.5,9.0
Datsun Pl510,4,2130,Japan,1971,14.5,27.0
Chevrolet Vega 2300,4,2264,USA,1971,15.5,28.0
Toyota Corona,4,2228,Japan,1971,14.0,25.0
Ford Pinto,4,2046,USA,1971,19.0,25.0
Volkswagen Super Beetle 117,4,1978,Europe,1971,20.0,NULL
Amc Gremlin,6,2634,USA,1971,13.0,19.0
Plymouth Satellite Custom,6,3439,USA,1971,15.5,16.0
Chevrolet Chevelle Malibu,6,3329,USA,1971,15.5,17.0
Ford Torino 500,6,3302,USA,1971,15.5,19.0
Amc Matador,6,3288,USA,1971,15.5,18.0
Chevrolet Impala,8,4209,USA,1971,12.0,14.0
Pontiac Catalina Brougham,8,4464,USA,1971,11.5,14.0
Ford Galaxie 500,8,4154,USA,1971,13.5,14.0
Plymouth Fury Iii,8,4096,USA,1971,13.0,14.0
Dodge Monaco (Sw),8,4955,USA,1971,11.5,12.0
Ford Country Squire (Sw),8,4746,USA,1971,12.0,13.0
Pontiac Safari (Sw),8,5140,USA,1971,12.0,13.0
Amc Hornet Sportabout (Sw),6,2962,USA,1971,13.5,18.0
Chevrolet Vega (Sw),4,2408,USA,1971,19.0,22.0
Pontiac Firebird,6,3282,USA,1971,15.0,19.0
Ford Mustang,6,3139,USA,1971,14.5,18.0
Mercury Capri 2000,4,2220,USA,1971,14.0,23.0
Opel 1900,4,2123,Europe,1971,14.0,28.0
Peugeot 304,4,2074,Europe,1971,19.5,30.0
Fiat 124B,4,2065,Europe,1971,14.5,30.0
Toyota Corolla 1200,4,1773,Japan,1971,19.0,31.0
Datsun 1200,4,1613,Japan,1971,18.0,35.0
Volkswagen Model 111,4,1834,Europe,1971,19.0,27.0
Plymouth Cricket,4,1955,USA,1971,20.5,26.0
Toyota Corona Hardtop,4,2278,Japan,1972,15.5,24.0
Dodge Colt Hardtop,4,2126,USA,1972,17.0,25.0
Volkswagen Type 3,4,2254,Europe,1972,23.5,23.0
Chevrolet Vega,4,2408,USA,1972,19.5,20.0
Ford Pinto Runabout,4,2226,USA,1972,16.5,21.0
Chevrolet Impala,8,4274,USA,1972,12.0,13.0
Pontiac Catalina,8,4385,USA,1972,12.0,14.0
Plymouth Fury Iii,8,4135,USA,1972,13.5,15.0
Ford Galaxie 500,8,4129,USA,1972,13.0,14.0
Amc Ambassador Sst,8,3672,USA,1972,11.5,17.0
Mercury Marquis,8,4633,USA,1972,11.0,11.0
